# Rime user dictionary
#@/db_name	flypyzc
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	14676
#@/user_id	c792ea34-1dd4-48ec-97e0-503b03700865
a 	啊	c=14 d=1.00229 t=13717
iif 	持	c=3 d=1.21113 t=14676
iifj 	吃饭	c=5 d=2.24904 t=12361
iigo 	吃过	c=1 d=1 t=12616
iima 	尺码	c=1 d=1 t=2918
iiwj 	吃完	c=2 d=1 t=14670
ij 	产	c=1 d=1 t=11882
ijpb 	产品	c=2 d=1.25507 t=14676
ijug 	产生	c=1 d=1 t=9140
ilg 	床	c=1 d=1 t=6223
ilxb 	创新	c=3 d=1.16416 t=14676
ir 	传	c=1 d=0.00133343 t=14676
irb 	穿	c=7 d=1.91393 t=9817
isui 	充实	c=2 d=1 t=7335
isxb 	重新	c=3 d=0.304221 t=14676
iubw 	储备	c=1 d=1 t=11092
iud 	触	c=1 d=0.00467746 t=14676
iue 	除	c=2 d=0.460422 t=14676
iufa 	出发	c=3 d=1.92775 t=10284
iufw 	除非	c=1 d=1 t=5217
iuiu 	处处	c=1 d=1 t=7017
iuld 	出来	c=5 d=1.00456 t=13134
ium 	楚	c=1 d=1 t=4691
iup 	初	c=1 d=1 t=7611
iuqu 	出去	c=3 d=1 t=12723
iuru 	出入	c=1 d=0.937067 t=14676
iutd 	出台	c=1 d=0.904837 t=14676
iuxm 	出现	c=1 d=0.0536647 t=14676
ivvi 	垂直	c=1 d=0.932394 t=14676
ivxm 	垂涎	c=1 d=1 t=10203
j 	就	c=100 d=1.64231 t=14676
j 	见	c=2 d=1 t=12460
jbb 	进步	c=1 d=1 t=3371
jbbu 	进步	c=3 d=1 t=13950
jbee 	金额	c=1 d=0.625002 t=14676
jbkk 	尽快	c=1 d=1 t=8730
jbmf 	进门	c=1 d=1 t=14158
jbnm 	今年	c=1 d=1 t=5213
jbqu 	进去	c=3 d=1 t=13647
jbr 	金	c=3 d=0.96672 t=14676
jbrs 	金融	c=4 d=0.991355 t=14676
jbtm 	今天	c=22 d=0.768451 t=14676
jbwj 	今晚	c=2 d=1 t=11226
jbxk 	进行	c=5 d=1.25287 t=14676
jbyz 	仅有	c=2 d=0.769187 t=14676
jbz 	近	c=3 d=1.11533 t=9431
ji 	几	c=5 d=1.15884 t=14676
jibf 	基本	c=2 d=1.00001 t=7788
jici 	几次	c=1 d=1 t=10181
jid 	急	c=3 d=1 t=13976
jide 	记得	c=3 d=0.657047 t=14676
jidj 	鸡蛋	c=2 d=1 t=13077
jidm 	几点	c=1 d=1 t=10268
jidr 	极端	c=1 d=1 t=12873
jidw 	激	c=1 d=0.00123708 t=14676
jig 	即	c=3 d=1.12363 t=14676
jige 	几个	c=1 d=1 t=7877
jigu 	击鼓	c=1 d=1 t=12508
jigv 	既	c=1 d=1 t=14507
jigz 	机构	c=12 d=4.50058 t=14676
jiho 	激活	c=1 d=0.00918669 t=14676
jihv 	机会	c=1 d=1 t=6933
jihx 	计划	c=2 d=0.0478349 t=14676
jiiu 	基础	c=1 d=0.0833256 t=14676
jiji 	积极	c=1 d=1 t=9242
jilu 	记录	c=2 d=1.25652 t=14676
jiq 	基	c=2 d=0.826959 t=14676
jir 	集	c=2 d=0.436049 t=14676
jis 	级	c=2 d=0.00509702 t=14676
jisr 	计算	c=4 d=1 t=14297
jiu 	吉	c=2 d=0.110821 t=14676
jiuu 	技术	c=1 d=1 t=7011
jivo 	籍	c=2 d=0.00253047 t=14676
jivs 	集中	c=1 d=1 t=12101
jixk 	畸形	c=1 d=1 t=5055
jixu 	继续	c=5 d=2.38979 t=14676
jiy 	计	c=1 d=0.937067 t=14676
jiy 	记	c=1 d=0.392586 t=14676
jiyi 	记忆	c=4 d=0.0288523 t=14676
jkdu 	精度	c=1 d=1 t=8235
jkg 	经过	c=1 d=0.453845 t=14676
jkgo 	经过	c=1 d=0.00265848 t=14676
jkih 	经常	c=1 d=1 t=4009
jkji 	经济	c=3 d=1.34819 t=12513
jkm 	精	c=1 d=1 t=6166
jkox 	景	c=1 d=1 t=14676
jksd 	竞赛	c=2 d=0.0162959 t=14676
jkt 	境	c=1 d=0.501576 t=14676
jkuf 	精神	c=2 d=1.00012 t=6628
jkw 	京	c=2 d=1 t=10688
jkxi 	惊喜	c=1 d=1 t=9071
jkyk 	经营	c=1 d=0.794534 t=14676
jl 	将	c=1 d=0.207008 t=14676
jld 	江	c=2 d=0.00360084 t=14676
jljb 	将近	c=1 d=0.394554 t=14676
jljl 	讲讲	c=3 d=1.00006 t=10545
jljq 	讲究	c=1 d=1 t=13795
jlld 	将来	c=1 d=0.895834 t=14676
jlsu 	江苏	c=3 d=0.0422141 t=14676
jly 	讲	c=6 d=1.80654 t=12326
jlyz 	酱油	c=1 d=1 t=6305
jmbd 	剪	c=1 d=1 t=6624
jmd 	减	c=1 d=0.960789 t=14676
jmdc 	见到	c=1 d=1 t=4464
jmdj 	简单	c=7 d=0.920186 t=14676
jmgr 	监管	c=2 d=0.589507 t=14676
jmk 	见	c=9 d=1 t=12893
jmkh 	健康	c=1 d=0.786628 t=14676
jmks 	监控	c=3 d=0.125465 t=14676
jmmm 	见面	c=4 d=1.00306 t=12888
jmr 	件	c=3 d=1 t=9793
jmro 	减弱	c=1 d=1 t=3990
jmue 	建设	c=1 d=0.955997 t=14676
jmv 	简	c=1 d=1 t=2669
jmyi 	建议	c=2 d=0.529619 t=14676
jmz 	建	c=1 d=0.0792617 t=14676
jn 	叫	c=6 d=2.01193 t=14473
jncd 	教材	c=1 d=1 t=10566
jndu 	角度	c=1 d=1 t=6385
jnhu 	交互	c=6 d=1.99054 t=14533
jni 	较	c=1 d=1 t=10824
jnl 	教	c=2 d=1 t=11053
jnlq 	交流	c=2 d=1 t=11270
jnts 	交通	c=2 d=1.11925 t=14676
jnuz 	教授	c=2 d=1.9802 t=3229
jnw 	交	c=2 d=0.433874 t=14676
jnyu 	教育	c=1 d=0.778801 t=14676
jnzi 	饺子	c=1 d=1 t=13998
jp 	接	c=2 d=0.694197 t=14676
jpdr 	阶段	c=1 d=1 t=7137
jpgo 	结果	c=5 d=3.49931 t=14676
jpgr 	接管	c=1 d=1 t=9449
jphe 	结合	c=1 d=1 t=6220
jpjb 	接近	c=2 d=1.01813 t=7423
jpjt 	解决	c=4 d=1.00271 t=9315
jpkr 	借款	c=1 d=0.227638 t=14676
jpkz 	借口	c=1 d=1 t=6031
jply 	结论	c=1 d=0.786628 t=14676
jptu 	截图	c=3 d=1.95154 t=14676
jpu 	截	c=1 d=0.644036 t=14676
jpuc 	介绍	c=1 d=1 t=6499
jpui 	解释	c=2 d=1.00425 t=13097
jpuu 	结束	c=4 d=1 t=13628
jpuz 	接受	c=1 d=1 t=8231
jpys 	借用	c=1 d=1 t=4311
jpzz 	节奏	c=1 d=1 t=12491
jq 	久	c=2 d=1 t=14109
jqdm 	酒店	c=2 d=1.80654 t=10756
jqhc 	就好	c=1 d=1 t=4722
jqjp 	纠结	c=2 d=1 t=9158
jqu 	就是	c=9 d=0.114355 t=14676
jqui 	就是	c=5 d=0.896519 t=14676
jqye 	就业	c=1 d=0.97531 t=14676
jqyr 	救援	c=1 d=1 t=5194
jr 	卷	c=1 d=1 t=11677
jtce 	决策	c=1 d=0.839457 t=14676
jtde 	觉得	c=14 d=1 t=12767
jtdk 	决定	c=1 d=1 t=4072
jtdv 	绝对	c=2 d=1 t=6845
jtx 	觉	c=1 d=1 t=2836
ju 	居	c=1 d=0.609571 t=14676
jub 	句	c=2 d=1.0019 t=9717
jue 	聚	c=2 d=1 t=11957
juli 	距离	c=1 d=1 t=7844
juti 	具体	c=5 d=1.34028 t=14676
juu 	局	c=1 d=0.99005 t=14676
juuj 	矩	c=1 d=0.647265 t=14676
juuo 	据说	c=1 d=1 t=14300
juvf 	矩阵	c=2 d=1 t=8114
jux 	举	c=1 d=0.826959 t=14676
juxm 	局限	c=1 d=0.831104 t=14676
juyz 	具有	c=2 d=0.815247 t=14676
jx 	加	c=9 d=0.128934 t=14676
jxb 	家	c=19 d=2.20487 t=14512
jxge 	价格	c=2 d=0.0153122 t=14676
jxgs 	加工	c=1 d=0.489192 t=14676
jxkk 	加快	c=1 d=1 t=4609
jxl 	架	c=1 d=1 t=12453
jxli 	家里	c=4 d=1 t=9849
jxqi 	假期	c=2 d=1 t=11209
jxr 	假	c=1 d=1 t=6834
jxu 	嘉	c=1 d=1 t=5382
jxue 	假设	c=1 d=0.625002 t=14676
jxuh 	加上	c=1 d=0.66034 t=14676
jxvc 	驾照	c=1 d=1 t=2656
jxwu 	家务	c=3 d=1 t=13232
jxx 	贾	c=1 d=0.594521 t=14676
jxyz 	加油	c=2 d=1 t=7884
jy 	均	c=1 d=0.856415 t=14676
jyhg 	均衡	c=1 d=1 t=13060
k 	可	c=2 d=0.343863 t=14676
k 	块	c=3 d=1.00285 t=6566
ka 	卡	c=11 d=2.78944 t=14676
kcl 	考	c=1 d=1 t=5335
kclv 	考虑	c=2 d=1 t=11633
kcya 	烤鸭	c=1 d=1 t=9651
kd 	开	c=4 d=1 t=13641
kdfa 	开发	c=1 d=1 t=10093
kdlh 	开朗	c=1 d=1 t=13715
kdtz 	开头	c=4 d=0.660434 t=14676
kdui 	开始	c=5 d=1.00098 t=14145
kdxb 	开心	c=6 d=1 t=13519
keb 	客	c=2 d=1.04518 t=14676
kedk 	可	c=2 d=0.621885 t=14676
keh 	科	c=3 d=1.86502 t=11915
kehu 	客户	c=2 d=0.915873 t=14676
keng 	可能	c=11 d=0.629198 t=14676
keqi 	客气	c=2 d=1.00024 t=12622
kerf 	客人	c=1 d=1 t=2677
kexb 	可信	c=1 d=0.733447 t=14676
kexk 	可行	c=2 d=1 t=12776
key 	课	c=1 d=1 t=5334
keyi 	可以	c=56 d=1.75305 t=14676
kfdk 	肯定	c=8 d=0.358796 t=14676
kg 	坑	c=1 d=1 t=4373
kgt 	坑	c=1 d=1 t=8324
kj 	看	c=36 d=2.07495 t=14676
kjdc 	看到	c=3 d=0.104685 t=14676
kjds 	看懂	c=1 d=1 t=5471
kjfa 	看法	c=1 d=1 t=11899
kjkj 	看看	c=18 d=1.00017 t=14330
kjx 	看下	c=2 d=1 t=12145
kjxx 	看下	c=17 d=0.653608 t=14676
kk 	快	c=12 d=3.59025 t=14104
kkle 	快乐	c=4 d=1.0043 t=4515
kksu 	快速	c=1 d=1 t=13019
kkt 	块	c=5 d=0.480121 t=14676
klm 	框	c=1 d=1 t=11231
kohc 	括号	c=1 d=1 t=7783
kov 	扩展	c=1 d=1 t=11060
kovj 	扩展	c=2 d=1 t=13181
kru 	款	c=1 d=0.26982 t=14676
ks 	空	c=1 d=0.519442 t=14676
ksf 	控	c=1 d=1 t=8766
ksge 	空格	c=1 d=0.0539337 t=14676
kshl 	恐慌	c=1 d=1 t=5123
kstn 	空调	c=1 d=1 t=13642
ksvi 	控制	c=1 d=1 t=13529
kug 	库	c=1 d=0.0837432 t=14676
kuzi 	裤子	c=4 d=1.47711 t=9395
kx 	夸	c=2 d=1.94176 t=7450
kxz 	跨	c=1 d=0.499074 t=14676
kyrc 	困扰	c=1 d=1 t=7724
kz 	口	c=4 d=0.992241 t=14676
kz 	抠	c=1 d=1 t=7361
kzf 	扣	c=2 d=1.98511 t=14607
kzhc 	口号	c=1 d=1 t=14308
l 	了	c=148 d=2.05558 t=14676
la 	拉	c=4 d=1.00001 t=12769
laba 	喇叭	c=1 d=1 t=8580
lak 	啦	c=88 d=2.11232 t=14632
lakl 	啦	c=2 d=1 t=13352
lbd 	淋	c=1 d=1 t=13660
lbr 	邻	c=1 d=1 t=8588
lbw 	琳	c=1 d=0.726149 t=14676
lc 	老	c=5 d=0.942021 t=14676
lcbj 	老板	c=2 d=0.104163 t=14676
lcc 	劳	c=1 d=1 t=6218
lcds 	劳动	c=2 d=1 t=6194
lcgs 	老公	c=1 d=1 t=10091
lcke 	老客	c=1 d=0.101266 t=14676
lcpo 	老婆	c=1 d=1 t=4465
lcui 	老师	c=2 d=0.0659235 t=14676
ld 	来	c=30 d=0.86448 t=14676
ldzi 	来自	c=1 d=1 t=6874
lg 	冷	c=1 d=1 t=3188
li 	里	c=13 d=0.89908 t=14676
lia 	丽	c=6 d=2.48628 t=14676
licd 	理财	c=1 d=0.440432 t=14676
lihd 	厉害	c=5 d=1.03544 t=14303
lihm 	梨	c=1 d=1 t=5435
lijp 	理解	c=2 d=1 t=12882
lill 	力量	c=1 d=1 t=7012
lily 	理论	c=1 d=1 t=4011
lim 	李	c=2 d=0.296629 t=14676
limm 	里面	c=4 d=1.00152 t=13565
lip 	礼	c=2 d=1 t=13796
lir 	例	c=8 d=0.909634 t=14676
liru 	例如	c=2 d=0.65806 t=14676
liv 	力	c=2 d=1 t=12103
livi 	理智	c=1 d=1 t=9259
liw 	离	c=2 d=1.70469 t=10757
liwl 	理	c=2 d=1.99501 t=3177
lixx 	立夏	c=1 d=1 t=11214
liys 	利用	c=1 d=0.509156 t=14676
lizi 	例子	c=1 d=1 t=3470
ljc 	蓝	c=1 d=1 t=4726
ljjp 	拦截	c=21 d=8.02115 t=14676
ljsj 	懒散	c=1 d=1 t=5922
ljx 	懒	c=1 d=1 t=3676
lkdc 	领导	c=1 d=1 t=14234
lkui 	零食	c=2 d=1.05872 t=13538
lkwd 	另外	c=1 d=0.937067 t=14676
lkyu 	领域	c=2 d=1.3775 t=14676
ll 	两	c=8 d=1.60673 t=14676
lldx 	凉	c=2 d=1 t=10200
llge 	两个	c=2 d=1 t=9133
llhh 	两行	c=1 d=1 t=13580
llo 	量	c=5 d=1.24447 t=14676
llox 	晾	c=1 d=1 t=10457
llr 	俩	c=2 d=1.09976 t=6568
llve 	两者	c=1 d=0.621885 t=14676
lm 	连	c=2 d=1.00301 t=10894
lme 	联	c=3 d=1 t=11467
lmjp 	连接	c=2 d=0.122567 t=14676
lms 	练	c=2 d=1 t=13945
lmxu 	连续	c=5 d=3.32181e-06 t=14676
lne 	聊	c=11 d=1.0216 t=10212
lnjp 	了解	c=1 d=0.00465413 t=14676
lnln 	聊聊	c=2 d=1.00002 t=5376
lnt 	聊天	c=1 d=1 t=5870
lntm 	聊天	c=3 d=1 t=9239
lo 	落	c=1 d=0.0833256 t=14676
lofh 	裸放	c=17 d=6.74646 t=14676
loji 	逻辑	c=11 d=5.70881 t=14676
lop 	裸	c=1 d=0.843665 t=14676
lp 	列	c=1 d=1 t=7738
lq 	刘	c=1 d=1 t=10339
lqd 	流	c=1 d=0.449329 t=14676
lqds 	流动	c=1 d=0.50409 t=14676
lqll 	流量	c=1 d=0.763379 t=14676
lqw 	六	c=1 d=1 t=9957
lr 	乱	c=1 d=1 t=6974
lua 	鲁	c=2 d=1 t=9197
lup 	禄	c=2 d=0.913058 t=14676
luuh 	路上	c=1 d=1 t=12169
luxm 	路线	c=1 d=1 t=14523
lv 	率	c=4 d=0.96754 t=14676
lvli 	履历	c=1 d=1 t=6873
lvuw 	履	c=2 d=1.74327 t=14676
lw 	类	c=3 d=0.9792 t=14676
lwji 	累积	c=1 d=0.063609 t=14676
lwk 	嘞	c=2 d=1.55156 t=3032
lwsi 	类似	c=2 d=1 t=14676
lwt 	累	c=11 d=0.932394 t=14676
lwxk 	类型	c=1 d=1 t=3474
lwy 	雷	c=1 d=1 t=5624
lyi 	轮	c=1 d=1 t=12503
lywf 	论文	c=18 d=1.0911 t=14286
lzy 	露	c=2 d=1.38566 t=14676
m 	没	c=38 d=1.08915 t=14676
ma 	吗	c=13 d=1.00214 t=13630
mafj 	麻烦	c=3 d=0.0653393 t=14676
mak 	嘛	c=43 d=1.65302 t=14669
man 	妈	c=1 d=1 t=10595
mapi 	马屁	c=1 d=1 t=6939
mauh 	马上	c=1 d=1 t=5227
mbgj 	敏感	c=2 d=1 t=13534
mcbk 	毛病	c=2 d=1.25032 t=5960
mcdy 	矛盾	c=1 d=1 t=9141
mcjb 	毛巾	c=1 d=1 t=2675
md 	买	c=14 d=2.53201 t=13131
mddm 	卖点	c=1 d=1 t=12408
mdu 	卖	c=1 d=1 t=5001
me 	么	c=42 d=1.33547 t=14676
mf 	们	c=3 d=0.467666 t=14676
mfd 	门	c=2 d=0.00677172 t=14676
mfkz 	门口	c=1 d=1 t=12380
mgg 	蒙古	c=1 d=0.0490458 t=14676
mggu 	蒙古	c=1 d=0.0430669 t=14676
mh 	忙	c=5 d=1.60351 t=14024
mhlu 	忙碌	c=1 d=1 t=12658
mifj 	米饭	c=1 d=1 t=13426
migf 	靡	c=1 d=0.0407622 t=14676
mj 	慢	c=2 d=1 t=11800
mjd 	满	c=1 d=0.00895987 t=14676
mjff 	满分	c=1 d=1 t=7879
mjx 	慢	c=2 d=1.00347 t=13039
mjyi 	满意	c=1 d=1 t=2810
mjzu 	满足	c=1 d=0.358796 t=14676
mk 	名	c=3 d=0.926113 t=14676
mkbd 	明白	c=1 d=1 t=6555
mkdj 	名单	c=1 d=0.932394 t=14676
mkmk 	命名	c=2 d=0.553354 t=14676
mko 	明	c=1 d=0.0459593 t=14676
mkt 	明天	c=41 d=1.03927 t=14547
mktm 	明天	c=11 d=1.0007 t=12144
mkxm 	明显	c=1 d=0.831104 t=14676
mm 	面	c=4 d=0.625014 t=14676
mmbc 	面包	c=1 d=1 t=13534
mmui 	面试	c=2 d=1.3413 t=11207
mn 	秒	c=1 d=1 t=14056
mo 	末	c=1 d=1 t=8305
mof 	摸	c=1 d=1 t=3049
momo 	默默	c=1 d=1 t=4284
moni 	模拟	c=3 d=0.856415 t=14676
moq 	默契	c=1 d=1 t=13988
morf 	默认	c=1 d=1 t=11413
moui 	模式	c=1 d=0.527292 t=14676
mox 	模型	c=53 d=10.0824 t=14676
moxk 	模型	c=10 d=3.83114 t=14676
muqm 	目前	c=5 d=1.10716 t=14676
muu 	木	c=1 d=1 t=13976
mw 	每	c=2 d=1 t=9274
mwci 	每次	c=1 d=1 t=3239
mwdy 	没	c=4 d=0.657047 t=14676
mwfa 	没法	c=1 d=0.955997 t=14676
mwge 	每个	c=5 d=1.87 t=14676
mwgr 	美观	c=1 d=0.0558548 t=14676
mwgv 	玫瑰	c=2 d=0.0128831 t=14676
mwhx 	美化	c=2 d=0.110474 t=14676
mwri 	每日	c=2 d=0.612626 t=14676
mwse 	美色	c=1 d=1 t=10207
mwtm 	每天	c=2 d=0.66365 t=14676
mwui 	没事	c=8 d=1.00938 t=14397
mwuo 	没说	c=1 d=1 t=13858
mwyd 	美	c=2 d=1.01769 t=9432
mwyr 	美元	c=1 d=1 t=5479
mwyt 	每月	c=1 d=0.392586 t=14676
mwyz 	没有	c=24 d=1.83887 t=14676
mz 	某	c=1 d=1 t=7053
mzhx 	谋划	c=1 d=1 t=10700
n 	你	c=200 d=2.22869 t=14676
na 	那	c=58 d=0.867459 t=14676
nabm 	那边	c=6 d=1.14898 t=14080
naci 	那次	c=1 d=1 t=7516
nag 	哪个	c=1 d=1 t=3500
nage 	那个	c=4 d=1 t=11955
nak 	哪	c=12 d=1.01128 t=14635
nakn 	呐	c=1 d=1 t=8510
nal 	哪里	c=9 d=2.03349 t=3175
nam 	那么	c=1 d=1 t=4708
name 	那么	c=2 d=1.53987 t=14676
napm 	那篇	c=1 d=1 t=6318
nar 	拿	c=2 d=1.00001 t=12383
navs 	那种	c=1 d=1 t=14675
naww 	那位	c=1 d=1 t=10209
nax 	哪些	c=4 d=1 t=13015
nb 	您	c=1 d=0.00180897 t=14676
nc 	闹	c=1 d=1 t=14301
ndn 	奶	c=1 d=1 t=12410
ne 	呢	c=53 d=1.71943 t=14676
nek 	呐	c=8 d=1.03172 t=13999
ng 	能	c=13 d=0.550005 t=14676
ngf 	能否	c=2 d=0.353455 t=14676
ngl 	能力	c=2 d=0.785182 t=14676
nine 	你出呢	c=1 d=1 t=11420
nj 	难	c=4 d=1.1028 t=12495
njdu 	难度	c=1 d=1 t=8279
njgo 	难过	c=1 d=1 t=5987
njnv 	男女	c=1 d=1 t=6976
njrf 	男人	c=1 d=1 t=11890
nju 	南	c=2 d=1 t=11232
njzi 	男子	c=1 d=1 t=8458
nm 	年	c=16 d=4.61302 t=14676
nmff 	年份	c=1 d=1 t=6892
nmfw 	年费	c=3 d=2.9459 t=14608
nmji 	年纪	c=1 d=1 t=13377
nmqk 	年轻	c=1 d=1 t=6176
nom 	糯	c=2 d=1.89137 t=13212
nqnd 	牛奶	c=1 d=1 t=3913
nr 	暖	c=1 d=1 t=10170
nsds 	弄懂	c=1 d=1 t=4953
nsli 	农历	c=1 d=0.0023344 t=14676
nsye 	农业	c=1 d=1 t=5387
nuli 	努力	c=1 d=1 t=3418
nv 	女	c=1 d=1 t=9243
nw 	内	c=5 d=0.923116 t=14676
nwmg 	内蒙	c=6 d=1.7958 t=12236
nwrs 	内容	c=3 d=0.179964 t=14676
nwxl 	内向	c=2 d=1.99501 t=13721
o 	哦	c=28 d=2.09797 t=14106
pa 	怕	c=2 d=1.68386 t=13719
pc 	跑	c=7 d=0.522046 t=14676
pcb 	刨	c=1 d=1 t=6503
pdf 	拍	c=2 d=1 t=13819
pdp 	牌	c=3 d=1.2172 t=14676
pgyz 	朋友	c=1 d=1 t=5069
phbm 	旁边	c=1 d=1 t=3637
pho 	胖	c=1 d=1 t=3102
pibw 	疲惫	c=1 d=1 t=6054
pidz 	批斗	c=1 d=1 t=5581
pif 	披	c=2 d=1.37875 t=14676
pisa 	披萨	c=1 d=1 t=9497
pj 	盘	c=1 d=1 t=13927
pjdk 	判定	c=2 d=0.98091 t=14676
pjdr 	判断	c=1 d=1 t=7594
pka 	平	c=2 d=1.00006 t=7123
pkff 	评分	c=2 d=1.26604 t=14676
pkjx 	评价	c=4 d=2.58704 t=14676
pkjy 	平均	c=1 d=0.390628 t=14676
pkmu 	屏幕	c=1 d=1 t=14157
pktd 	平台	c=2 d=0.981277 t=14676
pkui 	平时	c=4 d=1.72253 t=12962
pky 	评	c=1 d=0.755784 t=14676
pm 	片	c=1 d=1 t=13789
pmai 	偏爱	c=1 d=1 t=4723
pmv 	篇	c=7 d=1 t=13563
pmyi 	便宜	c=4 d=1.9419 t=5531
pn 	票	c=2 d=1.94649 t=8643
po 	破	c=1 d=1 t=7198
poh 	破坏	c=1 d=1 t=3986
pouv 	泼水	c=1 d=1 t=8813
pubm 	普遍	c=1 d=1 t=2554
pwe 	陪	c=3 d=1.00269 t=9789
pwv 	配置	c=4 d=0.888569 t=14676
pwvi 	配置	c=6 d=1.59178 t=14676
pwyh 	培养	c=1 d=0.00185476 t=14676
q 	去	c=42 d=1.19057 t=14630
qb 	亲	c=1 d=1 t=2680
qbai 	亲爱	c=35 d=1.40681 t=14197
qbre 	亲热	c=1 d=1 t=3337
qi 	其	c=2 d=0.115065 t=14676
qici 	齐次	c=1 d=0.718924 t=14676
qidb 	淇	c=1 d=1 t=13659
qidd 	期待	c=1 d=1 t=10005
qidm 	起点	c=1 d=1 t=5793
qik 	器	c=1 d=0.995012 t=14676
qild 	起来	c=8 d=2.11201 t=10374
qim 	棋	c=3 d=1 t=13929
qim 	骑	c=1 d=1 t=8444
qip 	气	c=1 d=0.802519 t=14676
qiqo 	期	c=11 d=3.2991 t=14676
qiqr 	齐全	c=1 d=1 t=4005
qir 	企	c=1 d=0.744532 t=14676
qit 	起	c=6 d=1.03233 t=11223
qita 	其他	c=12 d=0.697676 t=14676
qiui 	其实	c=12 d=0.0652193 t=14676
qiva 	欺诈	c=1 d=0.923116 t=14676
qivs 	其中	c=1 d=0.396531 t=14676
qiw 	齐	c=1 d=0.67368 t=14676
qiye 	企业	c=2 d=0.867915 t=14676
qiyu 	其余	c=3 d=0.824413 t=14676
qk 	情况	c=1 d=1 t=2798
qk 	请	c=7 d=0.178173 t=14676
qkf 	青	c=1 d=1 t=3488
qkgj 	情感	c=1 d=1 t=9265
qki 	轻	c=3 d=1 t=13011
qkiu 	清楚	c=2 d=1.01094 t=12284
qkk 	情况	c=9 d=4.45583 t=14676
qkx 	情	c=1 d=1 t=10653
qkyi 	轻易	c=1 d=1 t=11095
ql 	强	c=3 d=1.04657 t=14231
qlgz 	抢购	c=1 d=1 t=5125
qlqq 	强求	c=1 d=1 t=3281
qlvi 	强制	c=1 d=1 t=6149
qm 	前	c=6 d=2.02979 t=14676
qmhz 	前后	c=1 d=0.268474 t=14676
qmj 	钱	c=3 d=1 t=13743
qmp 	千	c=1 d=0.67032 t=14676
qncv 	憔悴	c=1 d=1 t=6632
qny 	乔	c=1 d=1 t=13975
qp 	且	c=1 d=1 t=12780
qpff 	切分	c=1 d=0.99005 t=14676
qppm 	切片	c=1 d=1 t=11365
qqtm 	秋天	c=1 d=1 t=3105
qrbu 	全部	c=3 d=1.01398 t=12488
qrjd 	券	c=5 d=0.0242654 t=14676
qrm 	权	c=1 d=1 t=12245
qrmm 	全面	c=1 d=0.331211 t=14676
qrng 	全能	c=1 d=1 t=13231
qruh 	券商	c=1 d=0.50409 t=14676
qrvs 	权重	c=1 d=0.194952 t=14676
qt 	却	c=1 d=0.640824 t=14676
qt 	缺	c=2 d=1.68386 t=2929
qtdk 	确定	c=2 d=0.701173 t=14676
qtdm 	缺点	c=2 d=1.16564 t=14676
qtqm 	缺钱	c=2 d=1.99005 t=3454
qtrf 	确认	c=1 d=0.677057 t=14676
qtuc 	缺少	c=1 d=0.0561348 t=14676
qtui 	确实	c=12 d=1.21544 t=9541
qu 	区	c=2 d=1.50409 t=12516
qubp 	区别	c=1 d=0.00540733 t=14676
que 	取	c=1 d=0.701173 t=14676
quiu 	去除	c=1 d=0.373439 t=14676
quxn 	取消	c=1 d=1 t=5270
qy 	群	c=10 d=4.16576 t=14676
qyvs 	群众	c=1 d=1 t=6942
r 	人	c=24 d=3.56225 t=14676
r 	入	c=3 d=1 t=14160
re 	热	c=6 d=0.810584 t=14676
rf 	任	c=1 d=1 t=6886
rfhe 	任何	c=2 d=0.941765 t=14676
rfmb 	人民	c=1 d=1 t=7059
rfqy 	人群	c=22 d=4.53811 t=14676
rfv 	认真	c=1 d=1 t=5667
rfvf 	认真	c=1 d=1 t=6013
rfwu 	任务	c=1 d=1 t=4668
rfy 	认	c=2 d=1 t=9249
rfyr 	人员	c=1 d=1 t=5182
rg 	扔	c=2 d=1 t=11004
rh 	让	c=13 d=0.69326 t=14676
ri 	日	c=2 d=0.550071 t=14676
ribc 	日报	c=1 d=0.0403566 t=14676
riqi 	日期	c=1 d=0.00543443 t=14676
rivi 	日志	c=2 d=0.154514 t=14676
rizi 	日子	c=1 d=1 t=2818
rj 	然	c=1 d=1 t=9120
rjhz 	然后	c=7 d=1.18664 t=9233
rr 	软	c=1 d=1 t=4963
rrjm 	软件	c=1 d=1 t=13560
rsa 	融	c=9 d=1.90554 t=14676
rshe 	融合	c=3 d=1.6331 t=14676
rsyi 	容易	c=6 d=2.00057 t=9973
ru 	如	c=2 d=0.729211 t=14676
rucj 	入是参	c=2 d=1.55433 t=8087
rugo 	如果	c=5 d=1.95713 t=14676
ruhe 	如何	c=4 d=1.0521 t=14676
rup 	入	c=1 d=0.240508 t=14676
ruxx 	如下	c=1 d=0.45612 t=14676
s 	三	c=2 d=0.0739031 t=14676
sc 	扫	c=3 d=1.00215 t=5008
se 	色	c=2 d=1.03597 t=5392
sed 	涩	c=1 d=1 t=8816
sifa 	司法	c=1 d=0.941765 t=14676
sih 	私	c=1 d=1 t=14603
sihu 	似乎	c=1 d=1 t=5421
sikc 	思考	c=3 d=0.0800583 t=14676
siq 	斯	c=1 d=1 t=4316
sirf 	私人	c=1 d=1 t=7001
sit 	思	c=1 d=1 t=3352
sizi 	私自	c=1 d=1 t=14606
sja 	三	c=1 d=0.118837 t=14676
sjt 	三天	c=1 d=0.511709 t=14676
so 	所	c=1 d=0.687289 t=14676
sojb 	缩进	c=3 d=2.84163 t=14676
